instance,city,n,m,build_time,solve_time,total_time,objective,mip_gap,n_sps_opened,node_count,status
Linz_10%,Linz,238,65,0.14746785163879395,0.01709890365600586,0.16456985473632812,3034182.454557604,0.0,5,0.0,2
Graz_10%,Graz,448,145,0.3134891986846924,0.04247546195983887,0.35596680641174316,1430118.7409824748,0.0,25,0.0,2
Linz_20%,Linz,477,131,0.2777986526489258,0.03993368148803711,0.3177332878112793,3001172.8093754193,0.0,25,0.0,2
Linz_30%,Linz,715,197,0.5831623077392578,0.08451032638549805,0.6676745414733887,5434370.1667823335,0.0,61,0.0,2
Graz_20%,Graz,897,291,1.1033697128295898,0.1463165283203125,1.2496871948242188,7325661.656934758,0.0,73,0.0,2
Linz_50%,Linz,1192,329,1.7008390426635742,0.15886950492858887,1.8597095012664795,585140.3014352432,0.0,181,0.0,2
Graz_30%,Graz,1345,437,2.396833658218384,0.13957691192626953,2.536412239074707,5000806.69717178,0.0,154,0.0,2
Vienna_10%,Vienna,1360,426,2.3685553073883057,0.0815286636352539,2.450085401535034,7724200.39828115,0.0,48,0.0,2
Linz_70%,Linz,1669,460,3.471329689025879,0.3511989116668701,3.8225300312042236,8314034.147245703,0.0,319,0.0,2
Graz_50%,Graz,2242,729,7.796085834503174,0.3397090435028076,8.135795593261719,9077708.504469069,0.0,366,0.0,2
Linz_100%,Linz,2385,658,7.768193006515503,0.43536972999572754,8.203564882278442,9082548.47653086,0.0,554,0.0,2
Vienna_20%,Vienna,2720,852,11.314980745315552,0.21179699897766113,11.526779413223267,751772.7385863302,0.0,179,0.0,2
Graz_70%,Graz,3139,1021,15.585864543914795,0.5158281326293945,16.101694345474243,1403063.8961124248,0.0,645,0.0,2
Vienna_30%,Vienna,4080,1278,24.189743518829346,0.37729525566101074,24.56704020500183,9102944.18233296,0.0,391,0.0,2
Graz_100%,Graz,4485,1459,34.06399488449097,0.8047616481781006,34.86876201629639,3371817.5193425673,0.0,1121,0.0,2
Vienna_50%,Vienna,6800,2130,89.80094027519226,0.9785177707672119,90.77945971488953,1579690.7432452498,0.0,1041,0.0,2
Vienna_70%,Vienna,9520,2982,191.98623919487,1.358266830444336,193.34450793266296,6969424.802055091,0.0,1961,0.0,2
Vienna_100%,Vienna,13600,4260,499.3572475910187,3.1080493927001953,502.4652991294861,3870027.198236612,0.0,3292,0.0,2
